user_id,signup_time,purchase_time,purchase_value,device_id,source,browser,sex,age,ip_address,class
22058,2/24/2015 22:55,4/18/2015 2:47,34,QVPSPJUOCKZAR,SEO,Chrome,M,39,732758368.8,0
333320,6/7/2015 20:39,6/8/2015 1:38,16,EOGFQPIZPYXFZ,Ads,Chrome,F,53,350311387.9,0
1359,1/1/2015 18:52,1/1/2015 18:52,15,YSSKYOSJHPPLJ,SEO,Opera,M,53,2621473820,1
150084,4/28/2015 21:13,5/4/2015 13:54,44,ATGTXKYKUDUQN,SEO,Safari,M,41,3840542444,0
221365,7/21/2015 7:09,9/9/2015 18:40,39,NAUITBZFJKHWW,Ads,Safari,M,45,415583117.5,0
159135,5/21/2015 6:03,7/9/2015 8:05,42,ALEYXFXINSXLZ,Ads,Chrome,M,18,2809315200,0
50116,8/1/2015 22:40,8/27/2015 3:37,11,IWKVZHJOCLPUR,Ads,Chrome,F,19,3987484329,0
360585,4/6/2015 7:35,5/25/2015 17:21,27,HPUCUYLMJBYFW,Ads,Opera,M,34,1692458728,0
159045,4/21/2015 23:38,6/2/2015 14:01,30,ILXYDOZIHOOHT,SEO,IE,F,43,3719094257,0
182338,1/25/2015 17:49,3/23/2015 23:05,62,NRFFPPHZYFUVC,Ads,IE,M,31,341674739.6,0
199700,7/11/2015 18:26,10/28/2015 21:59,13,TEPSJVVXGNTYR,Ads,Safari,F,35,1819008578,0
73884,5/29/2015 16:22,6/16/2015 5:45,58,ZTZZJUCRDOCJZ,Direct,Chrome,M,32,4038284553,0
79203,6/16/2015 21:19,6/21/2015 3:29,18,IBPNKSMCKUZWD,SEO,Safari,M,33,4161540927,0
299320,3/3/2015 19:17,4/5/2015 12:32,50,RMKQNVEWGTWPC,Direct,Safari,M,38,3178510015,0
82931,2/16/2015 2:50,4/16/2015 0:56,15,XKIFNYUZMBWFU,SEO,IE,M,24,4203487754,0
31383,2/1/2015 1:06,3/24/2015 10:17,58,UNUAVQXNWFBMO,SEO,Safari,F,24,995732779,0
78986,5/15/2015 3:52,8/11/2015 2:29,57,TGHVAWBMZRDHH,SEO,FireFox,M,23,3503883392,0
119824,3/20/2015 0:31,4/5/2015 7:31,55,WFIIFCPIOGMHT,Ads,Safari,M,38,131423.789,0
357386,2/3/2015 0:48,3/24/2015 18:27,40,NWSVDOHYIOBDR,Ads,FireFox,M,24,3037372279,0
289172,7/17/2015 5:48,11/12/2015 22:08,46,KFZGQIWDIRLZB,Direct,FireFox,F,53,1044590098,0
154699,7/8/2015 15:35,7/20/2015 0:11,24,TYZPZLEWNJJRI,Direct,FireFox,F,23,3847612074,0
